id;books_count;authors_id;pub_year;title_id;reviews_count
1;272;1;2008;1;155254
2;491;2;1997;2;75867
3;226;3;2005;3;95009
4;487;4;1960;4;72586
5;1356;5;1925;5;51992
6;226;6;2012;6;140739
7;969;7;1937;7;37653
8;360;8;1951;8;44920
9;311;9;2000;9;25112
10;3455;10;1813;10;49152
11;283;11;2003;11;59730
12;210;12;2011;12;101023
13;995;13;1949;13;45518
14;896;14;1945;14;35472
15;710;15;1947;15;20825
16;274;16;2005;16;62543
17;201;1;2009;17;88538
18;376;17;1999;18;36099
19;566;7;1954;19;15333
20;239;1;2010;20;96274
21;307;2;2003;21;28685
22;183;18;2002;22;36642
23;398;2;1998;23;34172
24;332;2;2000;24;31084
25;263;2;2007;25;51942
26;350;9;2003;26;41560
27;275;2;2005;27;27520
28;458;19;1954;28;26886
29;1937;20;1595;29;14778
30;196;21;2012;30;121614
31;183;22;2009;31;78204
32;373;23;1937;32;24642
33;220;24;1997;33;25605
34;169;25;2011;34;75437
35;458;26;1988;35;55781
36;192;27;1993;36;54084
37;474;28;1950;37;15186
38;167;29;2003;38;43382
39;101;30;1996;39;46205
40;185;31;2006;40;49714
41;159;32;2005;41;46006
42;1707;33;1868;42;17090
43;2568;34;1847;43;31212
44;190;35;1996;44;17279
45;264;36;2001;45;42962
46;128;37;2006;46;55732
47;251;38;2005;47;93611
48;507;39;1953;48;30694
49;194;3;2006;49;44020
50;45;40;1974;50;9234
51;178;41;2007;51;51589
52;185;3;2007;52;35216
53;217;42;2002;53;18280
54;257;43;1979;54;20345
55;515;44;1932;55;20095
56;183;3;2008;56;44550
57;125;45;2001;57;26522
58;2277;46;1884;58;12448
59;180;47;1952;59;13044
60;183;48;2003;60;35796
61;14;49;2015;61;93600
62;287;50;1995;62;14915
63;2498;51;1847;63;26157
64;125;52;2004;64;30719
65;241;53;1969;65;19646
66;409;54;1936;66;16050
67;197;11;2007;67;43645
68;128;55;1999;68;47116
69;164;12;2012;69;55873
70;224;56;1985;70;38054
71;2618;57;1818;71;
72;289;58;1977;72;14936
73;161;3;2008;73;39778
74;187;6;2005;74;47128
75;193;59;1996;75;8157
76;1969;60;1811;76;11526
77;138;61;1998;77;15832
78;129;62;2003;78;8024
79;1703;63;-720;79;8101
80;1708;64;1946;80;24537
81;92;65;2005;81;40777
82;108;66;1996;82;17299
83;525;67;1859;83;13093
84;176;68;1990;84;8143
85;81;40;1964;85;14368
86;158;69;1989;86;4239
87;109;70;1958;87;22001
88;178;6;2008;88;42717
89;129;71;1973;89;15630
90;156;72;1967;90;22662
91;147;73;2009;91;48942
92;124;74;2005;92;13668
93;1350;75;1911;93;13054
94;555;76;1967;94;21671
95;2303;77;1891;95;19647
96;133;25;2012;96;25287
97;2207;78;1897;97;17263
98;209;16;2006;98;31423
99;147;25;2011;99;28052
