ImageId,Label
1,2
2,0
3,8
4,9
5,3
6,7
7,0
8,3
9,0
10,3
11,5
12,7
13,7
14,0
15,4
16,0
17,3
18,8
19,8
20,0
21,1
22,8
23,8
24,5
25,7
26,4
27,2
28,7
29,4
30,7
31,7
32,8
33,4
34,3
35,6
36,2
37,8
38,2
39,1
40,0
41,9
42,7
43,4
44,0
45,8
46,7
47,8
48,2
49,3
50,8
51,6
52,8
53,8
54,3
55,8
56,2
57,8
58,2
59,2
60,3
61,7
62,5
63,7
64,0
65,0
66,8
67,8
68,8
69,2
70,5
71,0
72,0
73,8
74,8
75,2
76,0
77,8
78,9
79,2
80,3
81,5
82,5
83,8
84,5
85,4
86,2
87,4
88,3
89,6
90,0
91,8
92,0
93,0
94,6
95,1
96,8
97,0
98,8
99,7
100,4
101,2
102,8
103,0
104,2
105,7
106,3
107,8
108,5
109,0
110,8
111,0
112,2
113,4
114,2
115,3
116,7
117,8
118,8
119,8
120,3
121,3
122,9
123,2
124,8
125,6
126,3
127,8
128,9
129,8
130,9
131,3
132,5
133,6
134,0
135,0
136,0
137,3
138,8
139,3
140,6
141,4
142,3
143,4
144,5
145,2
146,8
147,7
148,7
149,2
150,8
151,4
152,3
153,3
154,6
155,5
156,3
157,7
158,8
159,7
160,8
161,3
162,0
163,4
164,8
165,8
166,8
167,7
168,6
169,3
170,0
171,3
172,7
173,8
174,6
175,8
176,3
177,7
178,4
179,8
180,2
181,2
182,2
183,2
184,2
185,4
186,9
187,2
188,8
189,6
190,3
191,6
192,1
193,9
194,9
195,6
196,8
197,8
198,7
199,6
200,9
201,8
202,8
203,0
204,4
205,7
206,5
207,8
208,8
209,6
210,2
211,3
212,6
213,3
214,6
215,8
216,2
217,1
218,8
219,3
220,4
221,2
222,3
223,1
224,0
225,2
226,3
227,7
228,6
229,1
230,0
231,0
232,9
233,9
234,3
235,2
236,3
237,2
238,2
239,8
240,6
241,8
242,6
243,3
244,8
245,5
246,5
247,4
248,5
249,3
250,4
251,9
252,7
253,1
254,3
255,8
256,9
257,3
258,1
259,4
260,3
261,6
262,3
263,8
264,5
265,7
266,0
267,6
268,8
269,8
270,0
271,6
272,0
273,6
274,3
275,2
276,5
277,8
278,5
279,8
280,4
281,0
282,9
283,2
284,0
285,5
286,3
287,7
288,1
289,4
290,9
291,0
292,9
293,7
294,8
295,9
296,5
297,3
298,0
299,3
300,3
301,6
302,9
303,8
304,2
305,0
306,2
307,7
308,8
309,9
310,8
311,8
312,5
313,9
314,0
315,0
316,3
317,8
318,4
319,1
320,8
321,9
322,2
323,8
324,9
325,8
326,4
327,5
328,8
329,5
330,5
331,6
332,3
333,2
334,3
335,0
336,8
337,0
338,0
339,6
340,8
341,6
342,3
343,8
344,8
345,5
346,0
347,8
348,3
349,3
350,8
351,6
352,7
353,7
354,2
355,8
356,8
357,8
358,9
359,0
360,8
361,2
362,6
363,3
364,8
365,8
366,2
367,3
368,8
369,8
370,6
371,6
372,8
373,0
374,4
375,7
376,8
377,9
378,3
379,3
380,7
381,6
382,2
383,2
384,7
385,2
386,6
387,8
388,8
389,3
390,9
391,1
392,7
393,9
394,2
395,6
396,8
397,8
398,8
399,7
400,5
401,9
402,7
403,6
404,1
405,1
406,8
407,9
408,3
409,0
410,0
411,0
412,8
413,4
414,8
415,3
416,9
417,8
418,8
419,3
420,3
421,9
422,0
423,6
424,5
425,2
426,3
427,9
428,7
429,4
430,7
431,4
432,8
433,5
434,2
435,8
436,8
437,3
438,4
439,9
440,0
441,8
442,4
443,7
444,4
445,3
446,4
447,7
448,5
449,3
450,9
451,2
452,7
453,6
454,9
455,3
456,9
457,6
458,3
459,2
460,6
461,8
462,7
463,5
464,5
465,5
466,1
467,7
468,2
469,4
470,8
471,1
472,4
473,5
474,0
475,6
476,0
477,3
478,3
479,8
480,0
481,4
482,8
483,8
484,2
485,7
486,9
487,4
488,8
489,0
490,7
491,8
492,4
493,2
494,4
495,2
496,0
497,0
498,3
499,2
500,0
501,6
502,3
503,8
504,6
505,1
506,2
507,3
508,3
509,3
510,6
511,7
512,8
513,8
514,7
515,8
516,2
517,2
518,7
519,7
520,2
521,0
522,9
523,0
524,7
525,7
526,8
527,0
528,1
529,1
530,7
531,0
532,7
533,3
534,8
535,1
536,5
537,6
538,5
539,7
540,3
541,0
542,2
543,8
544,2
545,0
546,3
547,5
548,9
549,2
550,8
551,8
552,3
553,0
554,5
555,3
556,0
557,7
558,5
559,6
560,2
561,0
562,3
563,8
564,1
565,5
566,8
567,4
568,1
569,5
570,9
571,0
572,8
573,0
574,3
575,0
576,4
577,8
578,8
579,4
580,2
581,2
582,5
583,2
584,6
585,9
586,1
587,7
588,2
589,8
590,0
591,8
592,8
593,2
594,5
595,3
596,6
597,7
598,6
599,0
600,0
601,5
602,3
603,7
604,8
605,8
606,2
607,8
608,5
609,6
610,8
611,9
612,4
613,3
614,3
615,2
616,4
617,7
618,0
619,0
620,7
621,8
622,8
623,0
624,2
625,0
626,8
627,6
628,3
629,8
630,8
631,6
632,2
633,8
634,6
635,8
636,4
637,4
638,7
639,8
640,3
641,0
642,9
643,9
644,0
645,9
646,8
647,2
648,9
649,8
650,8
651,9
652,8
653,0
654,2
655,8
656,2
657,4
658,3
659,3
660,7
661,2
662,3
663,4
664,0
665,2
666,8
667,2
668,3
669,3
670,6
671,5
672,9
673,4
674,3
675,8
676,7
677,7
678,8
679,6
680,0
681,6
682,9
683,8
684,8
685,1
686,3
687,0
688,6
689,4
690,9
691,2
692,6
693,0
694,5
695,8
696,4
697,3
698,9
699,8
700,8
701,4
702,2
703,5
704,0
705,6
706,2
707,8
708,4
709,6
710,5
711,5
712,8
713,1
714,5
715,8
716,6
717,2
718,3
719,4
720,4
721,9
722,0
723,1
724,2
725,8
726,0
727,0
728,8
729,7
730,5
731,7
732,8
733,8
734,2
735,7
736,7
737,8
738,3
739,8
740,5
741,4
742,8
743,3
744,4
745,3
746,9
747,0
748,9
749,8
750,6
751,9
752,0
753,4
754,4
755,4
756,2
757,7
758,1
759,8
760,2
761,2
762,0
763,4
764,5
765,4
766,0
767,0
768,8
769,1
770,8
771,6
772,6
773,8
774,2
775,5
776,3
777,4
778,6
779,3
780,2
781,3
782,6
783,9
784,8
785,3
786,8
787,8
788,0
789,3
790,8
791,8
792,0
793,3
794,0
795,3
796,3
797,8
798,6
799,9
800,9
801,8
802,8
803,3
804,3
805,1
806,4
807,4
808,6
809,2
810,1
811,8
812,4
813,7
814,8
815,2
816,4
817,0
818,9
819,7
820,8
821,3
822,0
823,3
824,0
825,7
826,3
827,0
828,4
829,7
830,2
831,8
832,0
833,6
834,9
835,3
836,9
837,6
838,1
839,5
840,3
841,8
842,4
843,0
844,8
845,8
846,3
847,7
848,2
849,2
850,5
851,8
852,9
853,7
854,7
855,2
856,5
857,3
858,3
859,9
860,2
861,3
862,9
863,3
864,4
865,2
866,3
867,6
868,8
869,2
870,3
871,9
872,5
873,4
874,2
875,3
876,2
877,8
878,8
879,0
880,8
881,4
882,9
883,1
884,1
885,3
886,7
887,3
888,5
889,9
890,9
891,1
892,7
893,6
894,0
895,4
896,2
897,9
898,8
899,8
900,8
901,5
902,3
903,5
904,7
905,9
906,3
907,3
908,3
909,2
910,7
911,2
912,0
913,9
914,2
915,8
916,2
917,4
918,6
919,3
920,8
921,2
922,3
923,5
924,3
925,4
926,7
927,9
928,6
929,6
930,3
931,3
932,2
933,1
934,1
935,8
936,3
937,7
938,7
939,9
940,0
941,0
942,0
943,6
944,8
945,0
946,9
947,3
948,2
949,9
950,0
951,6
952,7
953,5
954,2
955,3
956,2
957,2
958,3
959,0
960,2
961,9
962,9
963,4
964,0
965,2
966,3
967,1
968,8
969,8
970,5
971,3
972,2
973,9
974,6
975,7
976,0
977,8
978,0
979,7
980,4
981,2
982,8
983,7
984,7
985,7
986,7
987,0
988,5
989,3
990,2
991,8
992,9
993,8
994,6
995,8
996,3
997,0
998,2
999,2
1000,5
1001,0
1002,4
1003,8
1004,7
1005,8
1006,0
1007,9
1008,6
1009,3
1010,9
1011,2
1012,6
1013,3
1014,7
1015,3
1016,7
1017,2
1018,3
1019,9
1020,3
1021,8
1022,9
1023,3
1024,6
1025,2
1026,6
1027,8
1028,5
1029,8
1030,1
1031,8
1032,8
1033,8
1034,9
1035,7
1036,2
1037,0
1038,5
1039,2
1040,0
1041,8
1042,6
1043,8
1044,9
1045,2
1046,2
1047,3
1048,7
1049,0
1050,6
1051,2
1052,6
1053,3
1054,5
1055,9
1056,8
1057,8
1058,3
1059,0
1060,3
1061,0
1062,0
1063,2
1064,2
1065,9
1066,4
1067,7
1068,0
1069,5
1070,9
1071,8
1072,8
1073,4
1074,6
1075,3
1076,2
1077,6
1078,8
1079,2
1080,9
1081,2
1082,0
1083,2
1084,3
1085,7
1086,7
1087,6
1088,6
1089,3
1090,8
1091,3
1092,2
1093,0
1094,8
1095,9
1096,6
1097,3
1098,3
1099,3
1100,3
1101,4
1102,2
1103,0
1104,8
1105,8
1106,2
1107,0
1108,6
1109,4
1110,6
1111,7
1112,3
1113,7
1114,2
1115,2
1116,8
1117,2
1118,6
1119,2
1120,9
1121,8
1122,6
1123,9
1124,2
1125,6
1126,3
1127,8
1128,6
1129,8
1130,0
1131,3
1132,3
1133,8
1134,0
1135,3
1136,6
1137,8
1138,7
1139,7
1140,7
1141,8
1142,0
1143,2
1144,8
1145,2
1146,8
1147,4
1148,8
1149,5
1150,3
1151,3
1152,7
1153,8
1154,4
1155,4
1156,9
1157,4
1158,9
1159,8
1160,0
1161,9
1162,1
1163,2
1164,0
1165,6
1166,4
1167,1
1168,2
1169,3
1170,5
1171,8
1172,2
1173,8
1174,7
1175,8
1176,2
1177,0
1178,7
1179,2
1180,5
1181,3
1182,8
1183,9
1184,5
1185,2
1186,7
1187,0
1188,3
1189,0
1190,9
1191,7
1192,3
1193,3
1194,8
1195,8
1196,7
1197,3
1198,2
1199,5
1200,4
1201,9
1202,8
1203,3
1204,0
1205,1
1206,7
1207,9
1208,6
1209,9
1210,8
1211,8
1212,5
1213,0
1214,4
1215,1
1216,3
1217,5
1218,8
