id;book_id;books_count;authors_id;pub_year;title_id;reviews_count
1;2767052;272;1;2008;1;155254
2;3;491;2;1997;2;75867
3;41865;226;3;2005;3;95009
4;2657;487;4;1960;4;72586
5;4671;1356;5;1925;5;51992
6;11870085;226;6;2012;6;140739
7;5907;969;7;1937;7;37653
8;5107;360;8;1951;8;44920
9;960;311;9;2000;9;25112
10;1885;3455;10;1813;10;49152
11;77203;283;11;2003;11;59730
12;13335037;210;12;2011;12;101023
13;5470;995;13;1949;13;45518
14;7613;896;14;1945;14;35472
15;48855;710;15;1947;15;20825
16;2429135;274;16;2005;16;62543
17;6148028;201;1;2009;17;88538
18;5;376;17;1999;18;36099
19;34;566;7;1954;19;15333
20;7260188;239;1;2010;20;96274
21;2;307;2;2003;21;28685
22;12232938;183;18;2002;22;36642
23;15881;398;2;1998;23;34172
24;6;332;2;2000;24;31084
25;136251;263;2;2007;25;51942
26;968;350;9;2003;26;41560
27;1;275;2;2005;27;27520
28;7624;458;19;1954;28;26886
29;18135;1937;20;1595;29;14778
30;8442457;196;21;2012;30;121614
31;4667024;183;22;2009;31;78204
32;890;373;23;1937;32;24642
33;930;220;24;1997;33;25605
34;10818853;169;25;2011;34;75437
35;865;458;26;1988;35;55781
36;3636;192;27;1993;36;54084
37;100915;474;28;1950;37;15186
38;14050;167;29;2003;38;43382
39;13496;101;30;1996;39;46205
40;19501;185;31;2006;40;49714
41;28187;159;32;2005;41;46006
42;1934;1707;33;1868;42;17090
43;10210;2568;34;1847;43;31212
44;15931;190;35;1996;44;17279
45;4214;264;36;2001;45;42962
46;43641;128;37;2006;46;55732
47;19063;251;38;2005;47;93611
48;4381;507;39;1953;48;30694
49;49041;194;3;2006;49;44020
50;30119;45;40;1974;50;9234
51;256683;178;41;2007;51;51589
52;428263;185;3;2007;52;35216
53;113436;217;42;2002;53;18280
54;11;257;43;1979;54;20345
55;5129;515;44;1932;55;20095
56;1162543;183;3;2008;56;44550
57;37435;125;45;2001;57;26522
58;2956;2277;46;1884;58;12448
59;24178;180;47;1952;59;13044
60;1618;183;48;2003;60;35796
61;22557272;14;49;2015;61;93600
62;119322;287;50;1995;62;14915
63;6185;2498;51;1847;63;26157
64;10917;125;52;2004;64;30719
65;4981;241;53;1969;65;19646
66;18405;409;54;1936;66;16050
67;128029;197;11;2007;67;43645
68;22628;128;55;1999;68;47116
69;11735983;164;12;2012;69;55873
70;375802;224;56;1985;70;38054
71;18490;2618;57;1818;71;
72;11588;289;58;1977;72;14936
73;1656001;161;3;2008;73;39778
74;99561;187;6;2005;74;47128
75;227443;193;59;1996;75;8157
76;14935;1969;60;1811;76;11526
77;38709;138;61;1998;77;15832
78;5139;129;62;2003;78;8024
79;1381;1703;63;-720;79;8101
80;157993;1708;64;1946;80;24537
81;7445;92;65;2005;81;40777
82;1845;108;66;1996;82;17299
83;1953;525;67;1859;83;13093
84;7677;176;68;1990;84;8143
85;370493;81;40;1964;85;14368
86;32542;158;69;1989;86;4239
87;1617;109;70;1958;87;22001
88;6442769;178;6;2008;88;42717
89;21787;129;71;1973;89;15630
90;231804;156;72;1967;90;22662
91;6186357;147;73;2009;91;48942
92;1202;124;74;2005;92;13668
93;2998;1350;75;1911;93;13054
94;320;555;76;1967;94;21671
95;5297;2303;77;1891;95;19647
96;13536860;133;25;2012;96;25287
97;17245;2207;78;1897;97;17263
98;5060378;209;16;2006;98;31423
99;11857408;147;25;2011;99;28052
100;7244;39;79;1998;100;19941
101;4137;59;80;2000;101;14982
102;19543;110;81;1963;102;9102
103;7126;1310;82;1844;103;15925
104;6288;181;83;2006;104;38980
105;18710190;153;12;2013;105;62536
106;9418327;48;84;2011;106;35142
107;3473;131;35;1999;107;11071
108;9416;144;85;2000;108;11170
109;24280;1319;86;1862;109;12505
110;10572;202;30;1998;110;20325
111;10441;98;87;2005;111;18027
112;15507958;168;88;2012;112;71412
113;168668;251;89;1961;113;13734
114;6900;172;90;1997;114;19272
115;2187;125;91;2002;115;20880
116;24583;2448;92;1876;116;7165
117;18131;165;93;1962;117;19413
118;7763;126;94;1989;118;6708
119;38447;236;95;1985;119;35925
120;452306;93;96;2001;120;6477
121;7604;370;97;1955;121;18107
122;37442;80;98;1995;122;22926
123;5358;11;69;1991;123;3139
124;7937843;151;99;2010;124;42254
125;1420;1929;100;1600;125;8889
126;234225;241;101;1965;126;13239
127;2612;100;102;2000;127;10895
128;11084145;190;103;2011;128;15198
129;332613;275;104;1962;129;7855
130;2165;666;105;1952;130;16716
131;4395;381;23;1939;131;12991
132;3431;123;106;2003;132;16682
133;8127;1314;107;1908;133;14041
134;3777732;122;41;2009;134;22736
135;62291;175;30;2000;135;19497
136;137791;75;108;1996;136;3867
137;10964;189;109;1991;137;36707
138;12296;1579;110;1850;138;11428
139;9460487;155;111;2011;139;53569
140;6892870;193;16;2007;140;26766
141;18007564;148;112;2012;141;61298
142;5043;255;113;1989;142;26283
143;18143977;139;114;2014;143;53413
144;8664353;16;115;2010;144;41572
145;976;180;9;2001;145;7798
146;17333223;108;116;2013;146;44631
147;1217100;150;117;2007;147;43467
148;2865;169;118;1999;148;8011
149;4374400;130;119;2009;149;34959
150;4989;80;120;1997;150;17234
151;28186;121;32;2006;151;20097
152;5526;111;35;2006;152;10626
153;1582996;125;41;2008;153;23643
154;8852;1732;121;1606;154;7609
155;15241;453;7;1954;155;6980
156;42156;65;122;2004;156;11567
157;23772;72;123;1960;157;7370
158;6310;338;124;1964;158;8473
159;2120932;92;32;2008;159;14098
160;2623;1725;125;1860;160;12311
161;18512;470;7;1955;161;6644
162;49552;675;126;1942;162;14836
163;7736182;72;32;2010;163;17107
164;15745753;103;127;2013;164;53005
165;13497;176;30;2005;165;18876
166;7735333;84;128;2010;166;30226
167;4407;196;129;2001;167;27587
168;149267;195;130;1978;168;13808
169;6400090;95;35;2008;169;11051
170;11125;185;9;1998;170;7538
171;6969;1710;131;1815;171;11724
172;15823480;1492;132;1877;172;18064
173;227463;283;133;1962;173;9958
174;1812457;134;134;2007;174;29377
175;4502507;87;32;2009;175;17693
176;18342;7;58;1986;176;11698
177;7144;1714;135;1866;177;12605
178;6514;246;136;1963;178;15963
179;252577;184;137;1996;179;9798
180;52036;972;138;1922;180;11518
181;168642;223;139;1965;181;11754
182;6304335;119;140;2009;182;20808
183;7171637;103;41;2010;183;24385
184;39988;242;124;1988;184;11053
185;9361589;119;141;2011;185;54008
186;37470;111;142;2001;186;15846
187;24770;98;143;2005;187;21234
188;10664113;115;30;2011;188;20072
189;33;380;7;1955;189;9365
190;12262741;101;144;2012;190;34444
191;472331;90;145;1987;191;10851
192;186074;123;146;2007;192;28631
193;3228917;120;102;2008;193;19383
194;153747;1823;147;1851;194;
195;2728527;116;148;2008;195;39853
196;5759;162;149;1996;196;11176
197;301082;109;150;2001;197;16818
198;11486;155;151;1982;198;9485
199;12691;119;152;2005;199;13407
200;16299;474;153;1939;200;17264
201;6411961;208;9;2009;201;24199
202;6339664;91;154;2009;202;21871
203;11505797;85;155;2011;203;25298
204;5326;2380;125;1843;204;11568
205;43763;189;156;1976;205;7951
206;10507293;93;157;2012;206;35681
207;6853;109;158;1994;207;13050
208;6493208;66;159;2010;208;28624
209;23807;187;160;1988;209;3866
210;345627;132;161;2007;210;19720
211;40102;116;102;2005;211;12215
212;6867;155;162;2001;212;14815
213;485894;1316;163;1915;213;10252
214;561456;94;32;2007;214;15418
215;9969571;112;164;2011;215;52120
216;3153910;90;165;2006;216;32021
217;21996;70;166;2003;217;25846
218;13572249;96;167;2012;218;16748
219;11127;270;168;1956;219;8871
220;3609760;20;169;;220;532
221;60748;74;170;1995;221;13729
222;7869;143;171;1980;222;3899
223;249747;163;172;2001;223;8384
224;6487308;97;173;2009;224;17725
225;4406;81;23;1952;225;14454
226;5886881;131;21;2009;226;28784
227;5359;134;69;1993;227;1917
228;228333;84;174;2002;228;5121
229;24213;845;175;1865;229;7736
230;2156;1451;176;1817;230;13117
231;556602;117;177;2007;231;26614
232;43615;213;58;1982;232;13014
233;9712;347;178;1985;233;15246
234;439288;87;179;1999;234;18379
235;17802724;95;180;2013;235;27610
236;1898;101;66;1997;236;10439
237;10592;249;58;1974;237;8264
238;242006;79;181;2002;238;11601
239;8908;137;182;2006;239;22412
240;17212231;235;9;2013;240;33700
241;47281;81;27;1989;241;10304
242;13145;122;183;1993;242;3600
243;10614;197;58;1987;243;6416
244;66559;136;21;2006;244;28268
245;2839;125;184;1977;245;9270
246;30183;97;185;2007;246;12870
247;36072;250;186;1989;247;6148
248;1622;1379;187;1595;248;5724
249;4588;104;188;2005;249;21107
250;11387515;124;189;2012;250;43021
251;233093;99;190;1957;251;4299
252;11235712;92;191;2012;252;41109
253;16160797;48;192;2013;253;27258
254;6068551;96;193;2009;254;20521
255;662;147;194;1957;255;14666
256;49436;67;195;2006;256;21681
257;13023;4;196;1865;257;4876
258;1232;279;197;2001;258;24652
259;7631105;107;73;2010;259;23058
260;4865;353;198;1936;260;7909
261;480479;59;199;1996;261;3074
262;19486412;107;180;2014;262;30120
263;24337;61;200;1997;263;8534
264;3876;343;105;1926;264;9826
265;14891;127;201;1943;265;16088
266;13148;111;183;1995;266;2798
267;21853621;90;202;2015;267;37279
268;6334;159;203;2005;268;21927
269;366522;17;204;2003;269;7069
270;12873;306;205;1938;270;14920
271;18373;163;206;1966;271;11328
272;6952;177;207;1989;272;6559
273;1103;105;208;2005;273;15807
274;22034;259;209;1969;274;5832
275;49750;116;6;2006;275;20657
276;29579;169;210;1951;276;6240
277;15783514;109;129;2013;277;37655
278;30118;32;40;1981;278;2431
279;29056083;95;211;2016;279;53365
280;11614718;108;212;2011;280;24271
281;32499;145;69;1992;281;2006
282;17061;153;129;2002;282;13905
283;12067;114;213;1990;283;13914
284;70401;312;214;1955;284;12011
285;16181775;122;215;2013;285;31155
286;3063499;99;35;2008;286;9476
287;2122;154;194;1943;287;10198
288;19691;117;216;1984;288;2117
289;76620;193;217;1972;289;10399
290;10335308;18;218;2011;290;19397
291;3591262;74;219;2009;291;23146
292;140225;299;168;1951;292;4620
293;295;2573;220;1882;293;7917
294;9520360;69;32;2011;294;12270
295;10644930;145;58;2011;295;30656
296;4948;162;221;1969;296;5760
297;135479;155;53;1963;297;8050
298;2493;1248;222;1895;298;7353
299;7933292;69;223;2010;299;14378
300;39999;178;224;2006;300;19058
301;4900;1369;225;1899;301;9791
302;7812659;117;35;2010;302;12769
303;52529;113;226;2006;303;9663
304;227711;52;227;1998;304;7775
305;10583;198;58;1983;305;5430
306;5203;61;227;1992;306;9090
307;1215032;102;146;2011;307;15503
308;33724;94;85;2003;308;9510
309;6752378;96;41;2011;309;18870
310;14748;71;228;2001;310;5500
311;3412;201;229;1977;311;4556
312;2213661;129;230;2008;312;23840
313;13158800;113;231;2012;313;29932
314;28194;134;232;2003;314;10384
315;4894;128;233;1998;315;7877
316;9791;95;234;1997;316;14422
317;13214;107;235;1969;317;6666
318;15818107;65;236;2013;318;24700
319;8755776;101;41;2012;319;16639
320;13526165;78;237;2012;320;28973
321;10365;69;238;1961;321;8725
322;14497;152;129;1996;322;15680
323;9717;274;239;1984;323;10682
324;16068905;80;127;2013;324;39353
325;4473;138;240;1989;325;11197
326;32234;96;241;1999;326;5960
327;9275658;91;242;2011;327;23487
328;14866;84;52;2007;328;14004
329;2318271;111;243;2008;329;14988
330;228665;94;244;1990;330;8212
331;10916;76;52;1998;331;9257
332;65605;312;28;1953;332;8690
333;2153405;107;245;2007;333;24112
334;13596809;81;167;2012;334;9817
335;6689;182;124;1961;335;5120
336;13137;107;183;2001;336;5039
337;13;32;43;1996;337;4254
338;6280118;129;246;2009;338;15937
339;32929;98;247;1947;339;4604
340;7747374;38;248;2010;340;14101
341;1371;1726;249;-750;341;4763
342;13497818;139;250;2012;342;28751
343;24192;120;69;1996;343;1700
344;4138;54;80;1997;344;5096
345;45978;163;42;2005;345;8284
346;236093;1474;251;1900;346;8866
347;121749;348;28;1951;347;4737
348;16143347;77;252;2014;348;36910
349;11590;211;58;1975;349;6167
350;7745;98;253;1971;350;5021
351;10025305;99;41;2011;351;17854
352;20910157;29;254;2014;352;20301
353;12996;1053;121;1603;353;4334
354;6149;153;255;1987;354;7749
355;3236307;87;256;2008;355;19081
356;78411;126;257;1999;356;12794
357;355697;372;258;1929;357;6947
358;191139;40;190;1990;358;4021
359;16115612;135;11;2012;359;24084
360;7082;221;259;1968;360;8330
361;18254;1787;260;1838;361;5342
362;11149;231;28;1942;362;8285
363;6936382;79;261;2010;363;26153
364;113946;72;190;1957;364;2204
365;5805;72;262;1990;365;4138
366;2203;38;263;2001;366;5334
367;14995;82;264;2003;367;6357
368;119324;55;50;1997;368;6139
369;22232;85;265;2000;369;11717
370;7090447;76;32;2010;370;10914
371;350;130;266;1961;371;6293
372;10176;55;80;2004;372;5776
373;6319;197;124;1982;373;7906
374;21;155;234;2003;374;9065
375;1852;1384;267;1903;375;6770
376;7864437;88;73;2011;376;19975
377;16793;207;129;1999;377;13731
378;33917;93;268;2003;378;9824
379;8667848;99;269;2011;379;25179
380;11297;232;270;1987;380;12522
381;5168;54;271;1995;381;3147
382;6567017;86;272;2010;382;15782
383;1241;69;273;2003;383;10857
384;2282133;93;161;2008;384;10056
385;8520610;86;274;2012;385;17573
386;233818;127;275;1960;386;6699
387;17250;133;276;1953;387;5390
388;50;93;277;1986;388;10378
389;68428;75;278;2006;389;16276
390;51496;1974;279;1886;390;7958
391;7784;40;190;1971;391;3231
392;389627;115;280;2004;392;13337
393;7896527;73;281;2012;393;29145
394;2802316;88;161;2008;394;10074
395;46170;371;105;1940;395;4658
396;3367956;69;282;2009;396;18120
397;343;364;283;1985;397;10057
398;1097;61;284;2001;398;5063
399;3950967;131;250;2007;399;11330
400;22328;143;285;1984;400;6623
401;10799;425;105;1929;401;7249
402;391729;12;286;1843;402;1050
