id;author_name
1;Suzanne Collins
2;J.K. Rowling, Mary GrandPrÃ©
3;Stephenie Meyer
4;Harper Lee
5;F. Scott Fitzgerald
6;John Green
7;J.R.R. Tolkien
8;J.D. Salinger
9;Dan Brown
10;Jane Austen
11;Khaled Hosseini
12;Veronica Roth
13;George Orwell, Erich Fromm, CelÃ¢l Ãœster
14;George Orwell
15;Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday
16;Stieg Larsson, Reg Keeland
17;J.K. Rowling, Mary GrandPrÃ©, Rufus Beck
18;Alice Sebold
19;William Golding
20;William Shakespeare, Robert           Jackson
21;Gillian Flynn
22;Kathryn Stockett
23;John Steinbeck
24;Arthur Golden
25;E.L. James
26;Paulo Coelho, Alan R. Clarke
27;Lois Lowry
28;C.S. Lewis
29;Audrey Niffenegger
30;George R.R. Martin
31;Elizabeth Gilbert
32;Rick Riordan
33;Louisa May Alcott
34;Charlotte BrontÃ«, Michael Mason
35;Nicholas Sparks
36;Yann Martel
37;Sara Gruen
38;Markus Zusak
39;Ray Bradbury
40;Shel Silverstein
41;Cassandra Clare
42;Christopher Paolini
43;Douglas Adams
44;Aldous Huxley
45;Sue Monk Kidd
46;Mark Twain, John Seelye, Guy Cardwell
47;E.B. White, Garth Williams, Rosemary Wells
48;Mark Haddon
49;Paula Hawkins
50;Philip Pullman
51;Emily BrontÃ«, Richard J. Dunn
52;Jodi Picoult
53;Kurt Vonnegut Jr.
54;Margaret Mitchell
55;Stephen Chbosky
56;Orson Scott Card
57;Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle
58;Stephen King
59;Helen Fielding
60;Jane Austen, Tony Tanner, Ros Ballaster
61;Louis Sachar, Louis Sachar
62;Lauren Weisberger
63;Homer, Robert Fagles, E.V. Rieu, FrÃ©dÃ©ric Mugler, Bernard Knox
64;Antoine de Saint-ExupÃ©ry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta
65;Jeannette Walls
66;Jon Krakauer
67;Charles Dickens, Richard Maxwell, Hablot Knight Browne
68;Michael Crichton
69;John Grisham
70;Elie Wiesel, Marion Wiesel
71;William Goldman
72;S.E. Hinton
73;James Dashner
74;Steven D. Levitt, Stephen J. Dubner
75;Frances Hodgson Burnett
